path	lba	size	sha1
SDAIF_G2.AIF	193578	2866044	dcd4b1e6d1bcf8e61cf2066fcb39fe7c63874bdb
SDAIF_G3.AIF	194978	2569296	867a79c588bf9c1a4f397e999b7efb10d4f472a9
SDAIF_G4.AIF	196233	502784	9b82b5a9032bceb2dc6f8a07e4ceb37b0783a137
SDAIF_G5.AIF	196479	1612884	eeb6705a0bd905a4cbbe6715371771d380ee4dd2
SDAIF_G6.AIF	197267	11951496	88f66d7f235a59b4a8be3082960e6161c01139c3
SDAIF_G7.AIF	203103	247932	4b03d086a42b7089b9baa0b747a27b566317bc25
SDAIF_G8.AIF	203225	401284	34fb9308a5b9dd31f7e55231589bcacb732e3e4c
SDAIF_G9.AIF	203421	98828	d2870c43d78d1c227fa550cd0bd1e24433f80b2f
SDAIF_H0.AIF	203470	357272	4e70ba53f61053a41018bafa6f2434e217af79a6
SDDRVS6.TSK	21999	21172	89573508d16c724f40ad64dbea31734485e511a2
SE_XX.BIN	23298	106598	d38542acb0a849d6194bff8ab899052b6a42564f
SE_XX.CNV	23296	2246	5b6085c1022688f564d80ee831e1e276d51b330c
WARNING.DA	228775	7051264	909353c02173e08f3cf6dc69eada937af4ee3cbc
